date,ticker,weight
2022-12-30,CASH,0.55
2023-01-31,006208,0.5
2023-01-31,00631L,0.1
2023-01-31,2308,0.06999999999999999
2023-01-31,2330,0.06999999999999999
2023-01-31,2383,0.06999999999999999
2023-01-31,2454,0.06999999999999999
2023-01-31,3231,0.06999999999999999
2023-01-31,CASH,0.050000000000000044
2023-02-24,006208,0.5
2023-02-24,00631L,0.1
2023-02-24,2356,0.06999999999999999
2023-02-24,2382,0.06999999999999999
2023-02-24,2383,0.06999999999999999
2023-02-24,3231,0.06999999999999999
2023-02-24,6669,0.06999999999999999
2023-02-24,CASH,0.050000000000000044
2023-03-31,006208,0.5
2023-03-31,00631L,0.1
2023-03-31,2356,0.06999999999999999
2023-03-31,2382,0.06999999999999999
2023-03-31,2454,0.06999999999999999
2023-03-31,3231,0.06999999999999999
2023-03-31,6669,0.06999999999999999
2023-03-31,CASH,0.050000000000000044
2023-04-28,006208,0.5
2023-04-28,2345,0.06999999999999999
2023-04-28,2356,0.06999999999999999
2023-04-28,2382,0.06999999999999999
2023-04-28,3231,0.06999999999999999
2023-04-28,6669,0.06999999999999999
2023-04-28,CASH,0.15000000000000013
2023-05-31,006208,0.5
2023-05-31,00631L,0.1
2023-05-31,2345,0.06999999999999999
2023-05-31,2356,0.06999999999999999
2023-05-31,2382,0.06999999999999999
2023-05-31,3231,0.06999999999999999
2023-05-31,6669,0.06999999999999999
2023-05-31,CASH,0.050000000000000044
2023-06-30,006208,0.5
2023-06-30,00631L,0.1
2023-06-30,2356,0.06999999999999999
2023-06-30,2382,0.06999999999999999
2023-06-30,2383,0.06999999999999999
2023-06-30,3231,0.06999999999999999
2023-06-30,6669,0.06999999999999999
2023-06-30,CASH,0.050000000000000044
2023-07-31,006208,0.5
2023-07-31,00631L,0.1
2023-07-31,2356,0.06999999999999999
2023-07-31,2382,0.06999999999999999
2023-07-31,2383,0.06999999999999999
2023-07-31,3231,0.06999999999999999
2023-07-31,6669,0.06999999999999999
2023-07-31,CASH,0.050000000000000044
2023-08-31,006208,0.5
2023-08-31,2356,0.06999999999999999
2023-08-31,2382,0.06999999999999999
2023-08-31,2383,0.06999999999999999
2023-08-31,3231,0.06999999999999999
2023-08-31,6669,0.06999999999999999
2023-08-31,CASH,0.15000000000000013
2023-09-28,006208,0.5
2023-09-28,2345,0.06999999999999999
2023-09-28,2356,0.06999999999999999
2023-09-28,2382,0.06999999999999999
2023-09-28,2383,0.06999999999999999
2023-09-28,3231,0.06999999999999999
2023-09-28,CASH,0.15000000000000013
2023-10-31,006208,0.35
2023-10-31,2345,0.025
2023-10-31,2383,0.025
2023-10-31,2454,0.025
2023-10-31,6669,0.025
2023-10-31,CASH,0.55
2023-11-30,006208,0.5
2023-11-30,00631L,0.1
2023-11-30,2330,0.06999999999999999
2023-11-30,2345,0.06999999999999999
2023-11-30,2383,0.06999999999999999
2023-11-30,2454,0.06999999999999999
2023-11-30,6669,0.06999999999999999
2023-11-30,CASH,0.050000000000000044
2023-12-29,006208,0.5
2023-12-29,00631L,0.1
2023-12-29,2345,0.06999999999999999
2023-12-29,2356,0.06999999999999999
2023-12-29,2382,0.06999999999999999
2023-12-29,2454,0.06999999999999999
2023-12-29,6669,0.06999999999999999
2023-12-29,CASH,0.050000000000000044
2024-01-31,006208,0.5
2024-01-31,00631L,0.1
2024-01-31,2330,0.06999999999999999
2024-01-31,2345,0.06999999999999999
2024-01-31,2383,0.06999999999999999
2024-01-31,2454,0.06999999999999999
2024-01-31,6669,0.06999999999999999
2024-01-31,CASH,0.050000000000000044
2024-02-29,006208,0.5
2024-02-29,00631L,0.1
2024-02-29,2330,0.06999999999999999
2024-02-29,2345,0.06999999999999999
2024-02-29,2383,0.06999999999999999
